瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),嚼档(%)
156,堡林,2022-08-11 23:00,26.5,2.4,99
156,堡林,2022-08-12 00:00,26.5,2.3,99
156,堡林,2022-08-12 01:00,26.6,2.5,99
156,堡林,2022-08-12 02:00,26.6,1.6,99
156,堡林,2022-08-12 03:00,26.6,1.6,99
156,堡林,2022-08-12 04:00,26.5,.8,99
156,堡林,2022-08-12 05:00,26.4,0,99
156,堡林,2022-08-12 06:00,26.4,.6,99
156,堡林,2022-08-12 07:00,26.1,.6,99
156,堡林,2022-08-12 08:00,26.8,.5,99
156,堡林,2022-08-12 09:00,26.7,1.2,99
156,堡林,2022-08-12 10:00,28.6,.6,98
156,堡林,2022-08-12 11:00,29.5,.9,93
156,堡林,2022-08-12 12:00,29.6,1.1,90
156,堡林,2022-08-12 13:00,30.6,1.6,83
156,堡林,2022-08-12 14:00,30.7,1.4,76
156,堡林,2022-08-12 15:00,31.2,1.4,75
156,堡林,2022-08-12 16:00,30.3,1.8,75
156,堡林,2022-08-12 17:00,30.3,1.3,76
156,堡林,2022-08-12 18:00,29.6,1.2,77
156,堡林,2022-08-12 19:00,28.9,.7,81
156,堡林,2022-08-12 20:00,28,.6,87
156,堡林,2022-08-12 21:00,27.4,1.3,92
156,堡林,2022-08-12 22:00,27.1,1.5,90
156,堡林,2022-08-12 23:00,26.4,1.1,93
156,堡林,2022-08-13 00:00,25.7,.7,98
